"Total.Cup.Points","altitude_mean_meters_adj","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Caturra","variety_adj_Typica","Non_Tropical","mean_temp"
80.08,850,0,0,0,1,"Typica",0,0,1,1,9.57066666666667
84.92,1200,0,0,0,0,"Bourbon",1,0,0,0,9.516
77.83,399.483072,0,0,0,1,"Bourbon",1,0,0,0,9.6065
82,1650,0,0,0,1,"Other",0,0,0,0,9.831
81.5,1100,0,0,0,0,"Typica",0,0,1,1,9.50733333333333
82.5,1775,0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
83.92,1500,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
79,1400,0,0,0,1,"Typica",0,0,1,0,9.50733333333333
79.17,1550,0,0,0,1,"Other",0,0,0,0,9.831
81.42,1100,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
83.33,390.192768,0,0,0,1,"Typica",0,0,1,0,9.50733333333333
83.83,1676.5,0,0,0,0,"Other",0,0,0,0,9.57066666666667
83.17,1089,0,0,0,1,"Other",0,0,0,1,9.50733333333333
81.83,3280,0,0,0,1,"Bourbon",1,0,0,0,9.831
83.75,1400,0,0,0,0,"Bourbon",1,0,0,0,9.6065
80.25,900,0,0,0,1,"Caturra",0,1,0,0,9.831
81.25,1400,0,0,0,1,"Other",0,0,0,0,9.831
90.58,2075,0,0,0,1,"Other",0,0,0,0,9.57066666666667
83.5,1850,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
82.17,1400,0,0,0,1,"Other",0,0,0,1,9.6065
81.42,1100,0,0,0,0,"Bourbon",1,0,0,0,9.831
82.5,1000,0,0,0,1,"Other",0,0,0,0,9.831
79,371.61216,0,0,0,1,"Other",0,0,0,0,9.57066666666667
83.25,1200,0,0,1,0,"Other",0,0,0,0,9.50733333333333
85.5,1680,0,0,0,0,"Caturra",0,1,0,0,9.57066666666667
84.25,1400,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
82.42,1000,0,0,1,0,"Other",0,0,0,0,9.50733333333333
80.58,421.7798016,0,0,0,0,"Bourbon",1,0,0,0,9.57066666666667
82.5,1100,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
83.83,371.61216,0,0,0,1,"Bourbon",1,0,0,0,9.57066666666667
84.17,1530,0,0,0,1,"Other",0,0,0,0,9.831
83.42,371.61216,0,0,0,0,"Bourbon",1,0,0,0,9.6065
