"Total.Cup.Points","altitude_mean_meters_adj","total_defects","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","mean_temp"
82.33,1100,2,0,0,0,0,0,0,0,0,0,0,9.50733333333333
82.17,1200,0,1,0,0,0,0,0,0,1,0,1,9.57066666666667
78.5,1400,14,0,0,0,1,0,0,0,1,0,1,9.50733333333333
71.08,800,28,0,0,0,1,0,0,0,0,0,1,9.50733333333333
83.58,1000,2,0,0,0,1,0,0,0,1,0,1,9.50733333333333
74.83,1250,30,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.5,180,2,0,0,0,0,0,0,0,1,0,1,9.831
82,600,0,0,0,0,1,0,0,0,1,0,1,9.6065
82.75,1200,5,0,0,0,0,0,0,0,1,0,1,9.50733333333333
82,1350,3,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82.58,1750,0,0,0,0,1,0,0,1,0,0,0,9.6065
82,1038.5,0,0,0,0,0,0,0,0,0,0,0,9.50733333333333
84.58,1750,5,0,0,0,1,0,0,1,0,0,0,9.6065
80.75,3825,2,0,0,0,1,0,1,0,0,0,0,9.831
82.92,1500,1,0,0,0,1,1,0,0,0,0,0,9.57066666666667
83.92,1500,2,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.08,1300,0,0,0,0,1,0,0,1,0,0,0,9.831
86.92,1250,2,0,0,0,0,1,0,0,0,0,0,9.516
79,1350,12,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82.5,399.483072,4,0,0,0,1,1,0,0,0,0,0,9.6065
85.83,1900,4,0,0,0,1,0,0,0,0,0,0,9.57066666666667
81.58,13,1,0,0,0,1,0,0,1,0,0,0,9.831
81.92,1300,6,0,0,0,1,1,0,0,0,0,1,9.6065
81.67,1260,2,0,0,0,1,1,0,0,0,0,0,9.831
84.58,1550,0,0,0,0,1,0,0,1,0,0,0,9.6065
81.83,1556,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
84.58,1575,2,0,0,1,0,1,0,0,0,0,0,9.50733333333333
82.42,1170,1,0,0,0,1,0,0,1,0,0,1,9.50733333333333
82.42,1400,0,0,0,0,1,0,0,1,0,0,0,9.6065
83,750,20,0,0,0,1,0,0,0,1,0,1,9.50733333333333
84.67,1750,1,1,0,0,0,0,0,0,0,0,0,9.57066666666667
81.17,1550,2,0,0,0,1,1,0,0,0,0,0,9.57066666666667
82.42,1600,0,0,0,0,1,0,0,0,0,0,1,9.831
81.67,1200,2,0,0,0,1,1,0,0,0,0,1,9.50733333333333
78,1350,8,0,0,0,0,0,0,0,0,0,0,9.57066666666667
81.5,371.61216,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
85.33,1300,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
83.75,260.128512,1,0,0,0,1,0,0,0,0,0,0,9.6065
80.83,100,1,0,0,0,1,1,0,0,0,0,1,9.50733333333333
81.17,1300,3,0,0,0,1,0,1,0,0,0,0,9.57066666666667
86.25,1800,1,0,0,0,1,0,0,0,0,0,0,9.6065
82.67,1500,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
88.25,1822.5,4,0,0,0,0,0,0,0,0,0,0,9.57066666666667
83.17,1800,1,0,0,0,1,1,0,0,0,0,0,9.57066666666667
84.5,1500,4,0,0,0,1,0,0,0,1,0,1,9.50733333333333
80.92,1186,12,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83.17,1653,6,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82.67,950,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
84,1650,0,0,0,0,1,0,0,0,0,0,0,9.50733333333333
78.67,1150,2,0,0,0,1,0,0,1,0,0,1,9.50733333333333
77.33,1500,9,0,0,0,1,0,0,0,1,0,1,9.50733333333333
77.83,399.483072,2,0,0,0,1,1,0,0,0,0,0,9.6065
84.58,371.61216,0,0,0,0,1,1,0,0,0,0,0,9.57066666666667
82.5,1750,1,0,0,0,1,0,0,1,0,0,0,9.6065
81.92,1550,7,0,0,0,1,0,1,0,0,0,0,9.831
82.58,1150,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.25,1400,1,0,0,0,1,0,1,0,0,0,0,9.831
83.33,1700,6,0,0,1,0,0,0,0,0,0,0,9.57066666666667
79.75,1100,7,0,0,0,1,0,0,0,1,0,1,9.50733333333333
79.67,975,11,0,0,0,1,0,0,1,0,0,1,9.50733333333333
83.5,1850,0,0,0,0,1,0,0,1,0,0,0,9.831
85.33,1300,2,0,0,0,1,0,0,1,0,0,0,9.57066666666667
80.83,1100,3,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83,1550,3,0,0,0,1,0,1,0,0,0,0,9.831
84.83,1650,1,0,0,0,0,0,0,0,0,0,0,9.6065
82.33,600,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
82.67,1800,3,0,0,0,1,0,0,1,0,0,0,9.50733333333333
83,1500,1,0,0,0,1,1,0,0,0,0,0,9.57066666666667
84.33,1800,0,0,0,0,1,0,0,1,0,0,0,9.6065
84.67,1200,3,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.58,800,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
80.42,1550,20,0,0,0,1,0,0,1,0,0,1,9.50733333333333
85.5,527.6892672,1,0,0,0,1,1,0,0,0,0,0,9.6065
81.5,1200,2,0,0,1,0,0,0,0,0,1,0,9.57066666666667
84.17,1606.5,5,0,0,0,0,0,0,0,0,0,0,9.57066666666667
83.25,1300,6,0,0,0,1,1,0,0,0,0,1,9.6065
83.42,1200,0,0,0,0,1,0,0,0,0,0,0,9.831
83.58,1550,1,0,0,0,1,0,0,1,0,0,0,9.57066666666667
82.67,1550,4,0,0,0,1,1,0,0,0,0,0,9.57066666666667
85,1580,5,0,0,0,1,0,0,0,0,0,0,9.50733333333333
83.75,1775,5,0,0,0,1,0,0,1,0,0,0,9.57066666666667
85,1300,3,0,0,0,1,0,0,0,1,0,1,9.831
82,950,2,0,0,1,0,0,0,0,0,0,0,9.50733333333333
78.33,399.483072,5,0,0,0,1,1,0,0,0,0,0,9.50733333333333
82.58,1317,1,0,0,0,1,0,0,0,0,0,0,9.57066666666667
83.83,1750,1,0,0,0,1,0,0,1,0,0,0,9.6065
80,1250,9,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83,418.06368,2,0,0,0,1,0,1,0,0,0,0,9.831
80.08,250,0,0,0,1,0,0,0,0,1,0,1,9.57066666666667
80.5,371.61216,3,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82.25,1100,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
70.75,1000,1,0,0,0,1,0,0,0,1,0,1,9.57066666666667
81.75,1650,1,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.83,1250,7,0,0,0,1,1,0,0,0,0,1,9.50733333333333
86.42,1300,2,0,0,0,0,1,0,0,0,0,0,9.516
80.42,1700,14,0,0,0,1,0,0,0,0,0,1,9.6065
81,371.61216,1,0,0,0,1,1,0,0,0,0,0,9.831
78,399.483072,12,0,0,0,1,1,0,0,0,0,0,9.6065
79.75,1050,23,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.67,1400,5,0,0,0,0,0,0,1,0,0,0,9.57066666666667
82.33,1300,2,0,0,0,1,0,0,1,0,0,0,9.6065
82.25,423.91657152,2,0,0,0,1,1,0,0,0,0,0,9.50733333333333
81.83,1300,0,0,0,0,1,0,0,1,0,0,0,9.831
85.33,1600,2,0,0,0,1,0,0,0,0,0,0,9.50733333333333
83.17,1000,3,0,0,1,0,0,0,0,0,0,0,9.516
82.33,200,0,0,0,1,0,0,0,0,1,0,1,9.57066666666667
82.42,442,2,0,0,0,0,0,0,1,0,0,0,9.50733333333333
83.58,2136,4,0,0,0,0,0,0,1,0,0,0,9.50733333333333
