"Total.Cup.Points","altitude_mean_meters_adj","total_defects","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","mean_temp"
85.92,1650,0,0,0,0,0,0,0,0,0,0,0,9.6065
80.67,995,1,0,0,0,1,0,0,1,0,0,0,9.57066666666667
80.33,600,0,1,0,0,0,0,0,0,0,1,1,9.57066666666667
79.5,1100,5,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.58,1250,6,0,0,0,1,0,0,0,1,0,1,9.50733333333333
84.25,1775,6,0,0,0,1,0,0,1,0,0,0,9.831
84.25,1620,7,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82.42,1150,0,0,0,0,1,0,0,1,0,0,1,9.50733333333333
78.92,1300,8,0,0,0,1,0,0,0,1,0,1,9.6065
81.67,750,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
82.33,510.96672,6,0,0,0,1,1,0,0,0,0,0,9.831
81.83,1300,8,1,0,0,0,0,0,0,1,0,0,9.57066666666667
83.25,1261,2,0,0,0,0,0,0,0,1,0,1,9.831
80.08,1300,18,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.42,1260,0,0,0,0,0,0,0,0,0,1,0,9.57066666666667
81.33,1200,1,0,0,0,1,0,0,0,0,0,0,9.57066666666667
80.75,1450,1,0,0,0,0,0,1,0,0,0,0,9.831
76.08,1250,12,0,0,0,1,1,0,0,0,0,1,9.50733333333333
83.42,1813,1,0,0,0,1,0,0,1,0,0,0,9.831
83,1000,1,0,0,0,0,0,0,1,0,0,0,9.6065
77.67,775,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.42,399.483072,4,0,0,0,1,1,0,0,0,0,0,9.6065
85.33,1700,0,0,0,0,0,0,0,0,0,0,1,9.831
83.25,1000,0,0,0,0,1,0,0,1,0,0,1,9.50733333333333
82.75,1200,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.5,1260,0,0,0,1,0,0,0,0,0,1,0,9.57066666666667
82.08,1040,2,0,0,0,0,0,0,0,0,0,0,9.50733333333333
82.83,1900,0,0,0,0,1,1,0,0,0,0,0,9.831
82.17,1000,4,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.58,1450,1,0,0,0,1,0,0,1,0,0,0,9.57066666666667
82.42,1450,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
80.92,1700,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
83,1200,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
68.33,900,20,0,0,0,1,1,0,0,0,0,1,9.50733333333333
83.58,1200,14,0,0,0,1,0,0,1,0,0,1,9.57066666666667
81.25,464.5152,4,0,0,0,1,0,0,1,0,0,0,9.6065
84.5,1350,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83.83,399.483072,3,0,0,0,1,1,0,0,0,0,0,9.6065
81.42,763,9,0,0,0,1,0,0,1,0,0,1,9.50733333333333
81.67,1650,14,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.83,1100,0,0,0,0,0,1,0,0,0,0,0,9.831
84.42,1200,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
84.67,399.483072,4,0,0,0,1,1,0,0,0,0,0,9.50733333333333
82.5,1679,10,0,0,0,1,0,0,0,1,0,1,9.50733333333333
79.25,1000,10,0,0,0,1,1,0,0,0,0,1,9.50733333333333
88.83,2075,2,0,0,0,1,0,0,0,0,0,0,9.57066666666667
80.25,700,0,0,0,1,0,0,0,0,1,0,1,9.57066666666667
84,1600,9,0,0,0,1,0,0,0,0,0,0,9.831
83.92,1775,1,0,0,0,1,0,0,1,0,0,0,9.57066666666667
83.67,1400,0,0,0,0,1,0,0,0,1,0,0,9.50733333333333
83.58,1800,5,0,0,0,1,0,0,0,0,0,0,9.6065
82.92,1600,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
87.25,1450,0,0,0,0,1,0,0,0,0,0,1,9.831
82.17,1650,7,0,0,0,1,1,0,0,0,0,0,9.831
83.67,1750,3,0,0,0,1,0,0,1,0,0,0,9.6065
85.83,464.5152,3,0,0,0,1,1,0,0,0,0,0,9.50733333333333
84.25,335.10126528,1,0,0,0,1,0,0,1,0,0,0,9.831
75.17,1100,8,0,0,0,1,0,0,0,0,0,1,9.50733333333333
82.5,1450,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
82.33,1750,1,0,0,0,1,0,0,1,0,0,0,9.6065
81.83,1775,2,0,0,0,1,0,0,1,0,0,0,9.6065
84.17,1038.5,3,0,0,0,0,0,0,0,0,0,0,9.50733333333333
83.5,1600,19,0,0,0,0,0,0,0,0,0,0,9.57066666666667
83.17,1200,0,0,0,0,1,0,0,0,0,0,1,9.831
83.75,1400,0,0,0,0,0,1,0,0,0,0,0,9.6065
83.67,1900,1,0,0,0,1,0,0,1,0,0,0,9.6065
79.17,1550,6,0,0,0,1,0,1,0,0,0,0,9.831
84.92,1620,2,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82,1300,4,0,0,0,1,0,1,0,0,0,0,9.6065
84.33,1700,1,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.75,1100,1,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.25,533,11,0,0,0,1,1,0,0,0,0,1,9.50733333333333
80.92,325.16064,5,1,0,0,0,0,0,0,0,0,0,9.831
84.67,464.5152,4,0,0,0,1,1,0,0,0,0,0,9.50733333333333
82.25,650,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
82,1000,1,0,0,0,0,0,0,0,0,0,0,9.50733333333333
81.42,1100,0,0,0,0,0,1,0,0,0,0,0,9.831
83.75,1550,3,0,0,0,1,0,0,0,0,0,0,9.57066666666667
84.92,1000,2,0,0,0,0,0,1,0,0,0,0,9.516
81.5,1250,5,0,0,0,1,1,0,0,0,0,1,9.50733333333333
84.75,1450,4,0,0,0,1,0,1,0,0,0,0,9.57066666666667
85.42,1250,1,0,0,1,0,1,0,0,0,0,0,9.516
81.83,3280,8,0,0,0,1,1,0,0,0,0,0,9.831
81.25,1700,5,0,0,0,1,0,0,0,0,0,0,9.57066666666667
83,1200,3,0,0,0,1,0,1,0,0,0,0,9.6065
81.33,1400,3,0,0,0,1,0,0,0,0,0,0,9.57066666666667
83.83,371.61216,1,0,0,0,1,1,0,0,0,0,0,9.57066666666667
83,1500,2,0,0,0,1,1,0,0,0,0,0,9.831
81.33,1350,4,0,0,0,1,0,1,0,0,0,0,9.831
82.33,1100,0,0,0,0,0,1,0,0,0,0,0,9.831
81.83,1250,0,1,0,0,0,0,0,0,0,0,0,9.831
82.08,1250,1,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.17,1350,2,0,0,0,1,0,1,0,0,0,0,9.831
83.92,1350,1,0,0,0,0,0,0,0,0,0,0,9.831
82.33,1300,3,0,0,0,1,0,0,0,1,0,1,9.6065
85.17,1325,3,0,0,1,0,0,0,0,0,0,0,9.50733333333333
83.17,1350,3,0,0,0,0,0,0,1,0,0,0,9.831
83,418.06368,2,0,0,0,1,1,0,0,0,0,0,9.50733333333333
83.25,1000,0,0,0,0,1,1,0,0,0,0,1,9.831
78.42,1500,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83.58,1100,2,0,0,1,0,0,1,0,0,0,0,9.50733333333333
81.83,1250,10,0,0,1,0,0,0,0,1,0,1,9.50733333333333
83.42,1800,1,0,0,0,1,0,0,0,0,0,0,9.831
81.75,774,11,0,0,0,1,1,0,0,0,0,1,9.50733333333333
79.5,1550,2,0,0,0,1,0,0,1,0,0,0,9.6065
82.42,1250,4,0,0,0,1,1,0,0,0,0,1,9.50733333333333
81.83,4001,2,0,0,0,1,0,1,0,0,0,0,9.831
83.83,1250,3,0,0,1,0,0,0,0,0,1,0,9.50733333333333
84,1480,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
83,1775,0,0,0,0,1,0,0,1,0,0,0,9.516
83.5,1650,2,0,0,0,1,0,0,1,0,0,0,9.57066666666667
72.92,1200,2,0,0,0,1,0,0,0,1,0,1,9.57066666666667
86.17,1300,10,0,0,0,1,0,0,1,0,0,0,9.50733333333333
82.92,1400,4,0,0,0,1,0,0,0,0,0,0,9.6065
83.17,1380,5,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.17,1100,0,0,0,0,1,0,0,0,0,0,1,9.6065
80.5,566.708544,2,0,0,0,1,1,0,0,0,0,0,9.6065
82.67,1700,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
84.92,1775,1,0,0,0,1,0,0,1,0,0,0,9.831
83.58,1850,7,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82.83,1200,9,1,0,0,0,0,0,0,0,0,1,9.57066666666667
81.33,1800,17,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83.17,950,4,0,0,0,0,0,0,0,0,0,0,9.50733333333333
81.08,1100,1,0,0,0,1,0,0,0,0,0,0,9.831
83.33,1000,1,0,0,0,0,0,0,1,0,0,0,9.6065
84.25,371.61216,1,1,0,0,0,1,0,0,0,0,0,9.57066666666667
79.58,1550,5,0,0,0,1,0,0,1,0,0,1,9.50733333333333
82.08,1800,16,0,0,0,1,0,0,0,1,0,1,9.50733333333333
84,1700,1,0,0,0,1,0,0,1,0,0,0,9.6065
82.33,1300,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
78.5,1600,0,0,0,0,1,1,0,0,0,0,1,9.57066666666667
83.75,1650,2,0,0,0,1,0,0,0,0,0,1,9.831
84.67,1775,3,0,0,0,1,0,0,0,0,0,0,9.50733333333333
81.42,110,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
85.5,1600,1,0,0,0,1,0,0,0,0,0,0,9.6065
83.25,175,1,0,0,0,1,0,0,1,0,0,0,9.50733333333333
79,1550,20,0,0,1,0,0,0,0,1,0,1,9.50733333333333
81.5,1599,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
83.67,399.483072,2,0,0,0,1,1,0,0,0,0,0,9.6065
78,1200,28,0,0,0,1,0,0,0,1,0,1,9.6065
82.5,1600,1,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82.42,1560,5,0,0,0,1,0,0,0,1,0,1,9.6065
82.33,1450,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
84.25,1700,33,0,0,0,0,0,0,0,0,0,0,9.50733333333333
82.08,1500,5,0,0,0,1,1,0,0,0,0,0,9.57066666666667
85.58,1500,3,0,0,0,1,1,0,0,0,0,0,9.6065
78.5,1200,4,0,0,0,1,0,0,1,0,0,1,9.50733333333333
81.67,534.19248,4,0,0,0,1,1,0,0,0,0,0,9.50733333333333
84.92,1200,0,0,0,1,0,0,0,0,1,0,1,9.50733333333333
84.67,2000,0,0,0,0,1,0,0,0,0,0,0,9.50733333333333
82.33,442,0,0,0,0,0,0,0,1,0,0,0,9.50733333333333
84.92,1200,2,0,0,0,0,1,0,0,0,0,0,9.516
80.08,850,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
82.33,534.19248,3,0,0,0,1,1,0,0,0,0,0,9.50733333333333
80.75,1000,0,0,0,0,1,0,0,0,1,0,0,9.50733333333333
83.5,1775,4,0,0,0,1,0,0,1,0,0,0,9.831
79,1400,4,0,0,0,1,0,0,0,1,0,0,9.50733333333333
81.25,650,0,0,0,1,0,0,0,0,1,0,1,9.57066666666667
83.33,1650,1,0,0,0,1,0,0,1,0,0,0,9.831
84.58,1800,6,0,0,0,1,0,0,1,0,0,0,9.50733333333333
84.25,442,3,0,0,0,0,0,0,1,0,0,0,9.831
82.92,1450,8,0,0,0,1,0,0,0,0,0,0,9.6065
82.5,1100,5,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.33,1850,9,0,0,0,1,0,0,1,0,0,0,9.831
87.92,1872,0,0,0,0,1,0,0,0,0,0,1,9.57066666666667
81.25,1100,4,0,0,0,1,0,1,0,0,0,0,9.831
82.92,1650,0,0,0,0,1,0,0,0,0,0,0,9.6065
84.58,1100,1,0,0,1,0,0,1,0,0,0,0,9.516
69.17,1450,4,0,0,0,1,0,1,0,0,0,0,9.57066666666667
81.17,1200,4,0,0,0,0,0,0,0,1,0,0,9.57066666666667
82.83,1775,3,0,0,0,1,0,0,1,0,0,0,9.6065
85.83,431.999136,1,0,0,0,1,0,1,0,0,0,0,9.50733333333333
83.17,1000,1,0,0,0,0,0,0,0,0,0,0,9.50733333333333
81,1100,8,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83,1200,7,0,0,1,0,0,0,0,1,0,1,9.50733333333333
82.42,1300,9,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.92,1750,0,0,0,0,0,0,0,1,0,0,0,9.6065
82.92,1300,10,0,0,0,1,1,0,0,0,0,1,9.831
79.08,1100,45,0,0,0,1,0,0,0,0,0,1,9.50733333333333
82.75,1100,4,0,0,0,1,0,1,0,0,0,0,9.50733333333333
81.67,1400,2,0,0,0,1,1,0,0,0,0,1,9.50733333333333
87.25,2019,0,0,0,0,1,0,0,0,0,0,1,9.57066666666667
84.42,1775,3,0,0,0,1,0,0,1,0,0,0,9.57066666666667
81.33,1000,4,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.75,905,1,0,1,0,0,0,0,0,0,1,0,9.831
77.92,1248,3,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83.17,700,5,0,0,0,1,0,0,0,1,0,1,9.50733333333333
79.25,850,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
79.75,1450,0,0,0,0,1,1,0,0,0,0,1,9.50733333333333
80.33,940,21,0,0,1,0,0,0,0,1,0,1,9.50733333333333
83.83,1200,1,0,0,1,0,1,0,0,0,0,0,9.831
82.5,399.483072,0,0,0,0,1,1,0,0,0,0,0,9.6065
81.75,1600,4,0,0,0,1,0,0,0,0,0,0,9.57066666666667
74.67,1700,7,0,0,0,1,0,0,0,1,0,1,9.6065
83,1473,6,0,0,0,1,1,0,0,0,0,0,9.831
82.25,1350,2,0,0,0,1,0,1,0,0,0,0,9.831
79.42,800,30,0,0,0,1,0,0,0,1,0,1,9.50733333333333
84,1700,36,0,0,0,1,0,0,0,0,0,0,9.50733333333333
80.25,808,10,0,0,0,1,0,0,1,0,0,1,9.50733333333333
