"Total.Cup.Points","altitude_mean_meters_adj","Country.of.Origin","Harvest.Year","Variety","Processing.Method","total_defects","Quakers","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","mean_temp"
83.83,1300,"Costa Rica","2013","Catuai","Washed / Wet",3,0,0,0,0,1,"Catuai",0,1,0,0,0,0,9.6065
83.83,1260,"Brazil","2014","Yellow Bourbon","Natural / Dry",0,0,0,0,0,0,"Yellow Bourbon",0,0,0,0,1,0,9.57066666666667
83.83,1218,"Mexico","2012","Bourbon","Natural / Dry",2,0,0,0,0,0,"Bourbon",1,0,0,0,0,1,9.50733333333333
83.83,1300,"Mexico","2012","Pacas","Natural / Dry",4,0,0,0,0,0,"Other",0,0,0,0,0,1,9.50733333333333
83.75,1750,"Colombia","2013","Caturra","Washed / Wet",3,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.6065
83.67,1200,"Taiwan","2015","Caturra","Natural / Dry",0,0,0,0,0,0,"Caturra",0,0,1,0,0,1,9.831
83.67,1625,"Colombia","2015","Caturra","Washed / Wet",4,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.831
83.67,413.51143104,"Guatemala","2014","Bourbon","Washed / Wet",0,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.57066666666667
83.67,1450,"Guatemala","2012","Caturra","Natural / Dry",1,0,0,0,0,0,"Caturra",0,0,1,0,0,0,9.50733333333333
83.67,399.483072,"Guatemala","2012","Bourbon","Washed / Wet",13,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.50733333333333
83.67,464.5152,"Guatemala","2012","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.50733333333333
83.58,1100,"China","2015","Catimor","Washed / Wet",4,1,0,0,0,1,"Other",0,0,0,0,0,1,9.831
83.58,1600,"Colombia","2014","Caturra","Natural / Dry",0,0,0,0,0,0,"Caturra",0,0,1,0,0,0,9.57066666666667
83.58,1550,"Colombia","2014","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.57066666666667
83.58,1000,"Taiwan","2014","Typica","Other",0,0,1,0,0,0,"Typica",0,0,0,1,0,1,9.57066666666667
83.58,1775,"Colombia","2012","Caturra","Washed / Wet",3,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.50733333333333
83.5,1400,"Tanzania, United Republic Of","2015","Ruiru 11","Washed / Wet",21,0,0,0,0,1,"Other",0,0,0,0,0,0,9.831
83.5,1400,"Guatemala","2013","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.6065
83.5,1750,"Colombia","2013","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.6065
83.5,1170,"Mexico","2012","Bourbon","Natural / Dry",14,0,0,0,0,0,"Bourbon",1,0,0,0,0,1,9.50733333333333
83.5,940,"Mexico","2012","Typica","Semi-washed / Semi-pulped",12,0,0,0,1,0,"Typica",0,0,0,1,0,1,9.50733333333333
83.5,1400,"Mexico","2012","Pacamara","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,1,9.50733333333333
83.5,1775,"Colombia","2012","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.50733333333333
83.5,427.353984,"Guatemala","2012","Bourbon","Washed / Wet",15,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.50733333333333
83.42,442,"Colombia","2015","Caturra","Natural / Dry",4,0,0,0,0,0,"Caturra",0,0,1,0,0,0,9.831
83.42,1600,"Tanzania, United Republic Of","2014","Bourbon","Washed / Wet",4,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.57066666666667
83.42,1500,"Guatemala","2014","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.57066666666667
83.33,1200,"Mexico","2014","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,1,9.57066666666667
83.33,390.192768,"Haiti","2012","Typica","Washed / Wet",4,0,0,0,0,1,"Typica",0,0,0,1,0,0,9.50733333333333
83.33,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",3,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.6065
83.33,1880,"Burundi","2012","Bourbon","Washed / Wet",5,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.50733333333333
83.25,1483,"Colombia","2014","Caturra","Natural / Dry",0,0,0,0,0,0,"Caturra",0,0,1,0,0,0,9.57066666666667
83.25,399.483072,"Guatemala","2012","Bourbon","Washed / Wet",9,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.50733333333333
83.25,1200,"Brazil","2012","Yellow Bourbon","Semi-washed / Semi-pulped",1,0,0,0,1,0,"Yellow Bourbon",0,0,0,0,1,0,9.50733333333333
83.25,1775,"Colombia","2012","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.50733333333333
83.17,1600,"China","2015","Catimor","Washed / Wet",3,0,0,0,0,1,"Other",0,0,0,0,0,1,9.831
83.17,1500,"Guatemala","2015","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.831
83.17,1650,"Guatemala","2015","Bourbon","Washed / Wet",3,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.831
