"Total.Cup.Points","altitude_mean_meters_adj","Country.of.Origin","Harvest.Year","Variety","Processing.Method","total_defects","Quakers","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","mean_temp"
80.42,1450,"El Salvador","2013","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.6065
80.33,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",5,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.6065
80.25,278.70912,"Myanmar","2015","Other","Natural / Dry",27,0,0,0,0,0,"Other",0,0,0,0,0,0,9.831
80.25,900,"Nicaragua","2015","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.831
80.17,1250,"Mexico","2012","Typica","Washed / Wet",2,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.50733333333333
80.08,200,"Taiwan","2014","Typica","Other",0,0,1,0,0,0,"Typica",0,0,0,1,0,1,9.57066666666667
80,3845,"Myanmar","2015","Other","Washed / Wet",4,0,0,0,0,1,"Other",0,0,0,0,0,0,9.831
80,1400,"Mexico","2014","Typica","Washed / Wet",2,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.57066666666667
80,250,"Taiwan","2014","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.57066666666667
79.92,1300,"Mexico","2013","Bourbon","Washed / Wet",4,0,0,0,0,1,"Bourbon",1,0,0,0,0,1,9.6065
79.92,1100,"Mexico","2012","Other","Washed / Wet",8,0,0,0,0,1,"Other",0,0,0,0,0,1,9.50733333333333
79.92,1100,"Mexico","2012","Bourbon","Washed / Wet",0,0,0,0,0,1,"Bourbon",1,0,0,0,0,1,9.50733333333333
79.92,1100,"Mexico","2012","Catuai","Washed / Wet",3,0,0,0,0,1,"Catuai",0,1,0,0,0,1,9.50733333333333
79.92,1250,"Mexico","2012","Mundo Novo","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,1,9.50733333333333
79.83,1250,"Nicaragua","2014","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.57066666666667
79.75,600,"Taiwan","2013","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.6065
79.75,800,"Thailand","2013","","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0,9.6065
79.75,1100,"Costa Rica","2013","Catuai","Washed / Wet",4,0,0,0,0,1,"Catuai",0,1,0,0,0,0,9.6065
79.75,1022,"Mexico","2013","Bourbon","Washed / Wet",4,0,0,0,0,1,"Bourbon",1,0,0,0,0,1,9.6065
79.67,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",6,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.6065
79.67,1400,"Mexico","2013","Typica","Washed / Wet",6,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.6065
79.5,1050,"Nicaragua","2015","Caturra","Natural / Dry",6,0,0,0,0,0,"Caturra",0,0,1,0,0,0,9.831
79.5,700,"Taiwan","2014","Typica","Natural / Dry",1,0,0,0,0,0,"Typica",0,0,0,1,0,1,9.57066666666667
79.42,371.61216,"Guatemala","2013","Bourbon","Washed / Wet",2,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.6065
79.42,371.61216,"Guatemala","2014","Other","Washed / Wet",5,0,0,0,0,1,"Other",0,0,0,0,0,0,9.57066666666667
79.33,1200,"Colombia","2013","Caturra","Washed / Wet",3,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.6065
79.33,750,"Mexico","2012","Typica","Washed / Wet",19,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.50733333333333
79.08,1500,"Mexico","2012","Typica","Washed / Wet",2,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.50733333333333
79,371.61216,"Guatemala","2014","Other","Washed / Wet",3,0,0,0,0,1,"Other",0,0,0,0,0,0,9.57066666666667
79,12,"Mexico","2012","Typica","Washed / Wet",45,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.50733333333333
78.75,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",9,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.6065
78.67,1850,"China","2013","Typica","Washed / Wet",5,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.6065
78.58,1400,"Mexico","2012","Typica","Washed / Wet",1,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.50733333333333
78.33,371.61216,"Guatemala","2014","Other","Washed / Wet",2,0,0,0,0,1,"Other",0,0,0,0,0,0,9.57066666666667
78.08,1050,"Mexico","2012","Typica","Washed / Wet",3,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.50733333333333
78,850,"Mexico","2012","Other","Washed / Wet",9,0,0,0,0,1,"Other",0,0,0,0,0,1,9.50733333333333
77.33,371.61216,"Guatemala","2014","Other","Washed / Wet",3,0,0,0,0,1,"Other",0,0,0,0,0,0,9.57066666666667
77,1200,"Peru","2014","Caturra","Washed / Wet",16,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.57066666666667
76.17,1400,"Mexico","2012","Typica","Washed / Wet",6,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.50733333333333
76.17,3500,"Indonesia","2011","Other","Natural / Dry",30,0,0,0,0,0,"Other",0,0,0,0,0,0,9.516
76,1350,"Honduras","2014","Pacas","Natural / Dry",7,0,0,0,0,0,"Other",0,0,0,0,0,0,9.57066666666667
75.83,1000,"Philippines","2012","","Washed / Wet",2,0,0,0,0,1,"Other",0,0,0,0,0,0,9.50733333333333
75.58,399.483072,"Guatemala","2012","Bourbon","Washed / Wet",15,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.50733333333333
75,850,"Mexico","2012","Typica","Washed / Wet",22,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.50733333333333
74.33,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",2,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.6065
74,1200,"Mexico","2012","Typica","Washed / Wet",27,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.50733333333333
71.75,1200,"Costa Rica","2014","Caturra","Washed / Wet",7,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.57066666666667
71,1800,"Mexico","2012","Bourbon","Washed / Wet",0,0,0,0,0,1,"Bourbon",1,0,0,0,0,1,9.50733333333333
69.33,1450,"Honduras","2014","Catuai","Washed / Wet",4,0,0,0,0,1,"Catuai",0,1,0,0,0,0,9.57066666666667
67.92,350,"Haiti","2012","Typica","Natural / Dry",24,0,0,0,0,0,"Typica",0,0,0,1,0,0,9.50733333333333
59.83,431.999136,"Guatemala","2012","Catuai","Washed / Wet",4,0,0,0,0,1,"Catuai",0,1,0,0,0,0,9.50733333333333
