"Total.Cup.Points","altitude_mean_meters_adj","Country.of.Origin","Harvest.Year","Variety","Processing.Method","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Caturra","variety_adj_Typica","Non_Tropical","mean_temp"
78.5,1600,"Mexico","2014","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,1,9.57066666666667
78.42,1500,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
78.33,399.483072,"Guatemala","2012","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.50733333333333
78,371.61216,"Guatemala","2014","Other","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
78,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.6065
77.92,1200,"Costa Rica","2014","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
77.42,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.6065
77.33,371.61216,"Guatemala","2014","Other","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
77,1200,"Peru","2014","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
75.5,1100,"Mexico","2012","Pacamara","Washed / Wet",0,0,0,1,"Other",0,0,0,1,9.50733333333333
75,850,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
74.92,1500,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
74.83,1250,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
73.42,1350,"Honduras","2014","Pacas","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
72.92,1200,"Mexico","2014","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.57066666666667
71.08,800,"Mexico","2012","Mundo Novo","Washed / Wet",0,0,0,1,"Other",0,0,0,1,9.50733333333333
70.75,1000,"Mexico","2014","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.57066666666667
69.33,1450,"Honduras","2014","Catuai","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
