"Total.Cup.Points","altitude_mean_meters_adj","Country.of.Origin","Harvest.Year","Variety","Processing.Method","total_defects","Quakers","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical"
81.17,1200,"Nicaragua","2016","","Washed / Wet",7,0,0,0,0,1,"Other",0,0,0,0,0,0
81.17,1050,"Tanzania, United Republic Of","2015/2016","Bourbon","Washed / Wet",2,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
81.17,1450,"Honduras","2015","Catuai","Natural / Dry",1,0,0,0,0,0,"Catuai",0,1,0,0,0,0
81.17,1450,"Thailand","2014","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0
81.08,1100,"Nicaragua","2015","Other","Washed / Wet",1,0,0,0,0,1,"Other",0,0,0,0,0,0
81.08,520.257024,"United States","2014","Pache Comun","Natural / Dry",0,0,0,0,0,0,"Other",0,0,0,0,0,1
81.08,1650,"Mexico","2012","Typica","Washed / Wet",21,0,0,0,0,1,"Typica",0,0,0,1,0,1
81.08,1200,"Mexico","2012","Typica","Washed / Wet",1,0,0,0,0,1,"Typica",0,0,0,1,0,1
81,371.61216,"Guatemala","2015","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
81,1350,"Honduras","2014","Caturra","Natural / Dry",1,0,0,0,0,0,"Caturra",0,0,1,0,0,0
81,1525,"Tanzania, United Republic Of","2014","Other","Washed / Wet",5,0,0,0,0,1,"Other",0,0,0,0,0,0
81,1700,"Uganda","2013","SL14","Natural / Dry",3,0,0,0,0,0,"Other",0,0,0,0,0,0
81,1100,"Mexico","2012","Typica","Washed / Wet",8,0,0,0,0,1,"Typica",0,0,0,1,0,1
80.92,1100,"Mexico","2017","Bourbon","Washed / Wet",11,0,0,0,0,1,"Bourbon",1,0,0,0,0,1
80.92,1100,"Brazil","2014/2015","Bourbon","Natural / Dry",0,0,0,0,0,0,"Bourbon",1,0,0,0,0,0
80.92,688,"Taiwan","2013/2014","Typica","Other",0,0,1,0,0,0,"Typica",0,0,0,1,0,1
80.83,1100,"Mexico","2012","Typica","Washed / Wet",3,0,0,0,0,1,"Typica",0,0,0,1,0,1
80.75,520.257024,"Guatemala","2015","Caturra","Washed / Wet",1,0,0,0,0,1,"Caturra",0,0,1,0,0,0
80.75,1450,"Honduras","2015","Caturra","Natural / Dry",2,0,0,0,0,0,"Caturra",0,0,1,0,0,0
80.75,1000,"Haiti","2012","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,0
80.67,1550,"Colombia","2014","Caturra","Natural / Dry",1,0,0,0,0,0,"Caturra",0,0,1,0,0,0
80.67,1550,"Guatemala","2013","Bourbon","Washed / Wet",5,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
80.58,1400,"Honduras","2014","Caturra","Washed / Wet",5,0,0,0,0,1,"Caturra",0,0,1,0,0,0
80.58,421.7798016,"Guatemala","2014","Bourbon","Natural / Dry",5,0,0,0,0,0,"Bourbon",1,0,0,0,0,0
80.5,1500,"Guatemala","2017","Caturra","Washed / Wet",4,0,0,0,0,1,"Caturra",0,0,1,0,0,0
80.42,1700,"China","2013","Other","Washed / Wet",14,0,0,0,0,1,"Other",0,0,0,0,0,1
80.33,600,"Taiwan","2013/2014","Yellow Bourbon","Other",0,0,1,0,0,0,"Yellow Bourbon",0,0,0,0,1,1
80.33,940,"Mexico","2012","Typica","Semi-washed / Semi-pulped",21,0,0,0,1,0,"Typica",0,0,0,1,0,1
80.25,1400,"Honduras","2016","Caturra","Natural / Dry",4,0,0,0,0,0,"Caturra",0,0,1,0,0,0
80.17,1400,"Honduras","2015","Catuai","Washed / Wet",0,0,0,0,0,1,"Catuai",0,1,0,0,0,0
80.17,1550,"Mexico","2012","Typica","Washed / Wet",3,0,0,0,0,1,"Typica",0,0,0,1,0,1
80.17,399.483072,"Guatemala","2012","Bourbon","Washed / Wet",5,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
80.08,1100,"Brazil","2017 / 2018","Bourbon","Pulped natural / honey",5,0,0,1,0,0,"Bourbon",1,0,0,0,0,0
80.08,850,"Taiwan","2014","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1
80.08,250,"Taiwan","2013/2014","Typica","Semi-washed / Semi-pulped",0,0,0,0,1,0,"Typica",0,0,0,1,0,1
80.08,1300,"Mexico","2012","Typica","Washed / Wet",18,0,0,0,0,1,"Typica",0,0,0,1,0,1
80,1250,"Mexico","2012","Typica","Washed / Wet",9,0,0,0,0,1,"Typica",0,0,0,1,0,1
80,1100,"Mexico","2012","Other","Washed / Wet",12,0,0,0,0,1,"Other",0,0,0,0,0,1
79.92,1100,"Mexico","2012","Other","Washed / Wet",8,0,0,0,0,1,"Other",0,0,0,0,0,1
79.92,1250,"Mexico","2012","Typica","Natural / Dry",6,0,0,0,0,0,"Typica",0,0,0,1,0,1
79.75,600,"Taiwan","2013","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1
79.75,1100,"Costa Rica","2013","Catuai","Washed / Wet",4,0,0,0,0,1,"Catuai",0,1,0,0,0,0
79.75,1400,"Mexico","2013","Typica","Washed / Wet",4,0,0,0,0,1,"Typica",0,0,0,1,0,1
79.75,1022,"Mexico","2013","Bourbon","Washed / Wet",4,0,0,0,0,1,"Bourbon",1,0,0,0,0,1
79.75,1450,"Mexico","2012","Bourbon","Washed / Wet",0,0,0,0,0,1,"Bourbon",1,0,0,0,0,1
79.67,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",6,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
79.58,1250,"Mexico","2012","Typica","Washed / Wet",11,0,0,0,0,1,"Typica",0,0,0,1,0,1
79.42,371.61216,"Guatemala","2014","Other","Washed / Wet",5,0,0,0,0,1,"Other",0,0,0,0,0,0
79.33,200,"Cote d?Ivoire","2016","","Washed / Wet",3,0,0,0,0,1,"Other",0,0,0,0,0,0
79.33,950,"Mexico","2012","Typica","Washed / Wet",23,0,0,0,0,1,"Typica",0,0,0,1,0,1
79.17,371.61216,"Guatemala","2017","Bourbon","Washed / Wet",0,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
79.08,1700,"Guatemala","2017","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
79.08,260.128512,"United States (Puerto Rico)","2013","Other","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0
79.08,1100,"Mexico","2012","Mundo Novo","Washed / Wet",45,0,0,0,0,1,"Other",0,0,0,0,0,1
79,371.61216,"Guatemala","2014","Other","Washed / Wet",3,0,0,0,0,1,"Other",0,0,0,0,0,0
79,1300,"Mexico","2012","Mundo Novo","Natural / Dry",12,0,0,0,0,0,"Other",0,0,0,0,0,1
78.92,1300,"Mexico","2013","Typica","Washed / Wet",8,0,0,0,0,1,"Typica",0,0,0,1,0,1
78.83,1100,"Nicaragua","2016","Caturra","Other",4,2,1,0,0,0,"Caturra",0,0,1,0,0,0
78.75,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",9,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
78.75,1350,"Mexico","2012","Bourbon","Washed / Wet",0,0,0,0,0,1,"Bourbon",1,0,0,0,0,1
78.67,1850,"China","2013","Typica","Washed / Wet",5,0,0,0,0,1,"Typica",0,0,0,1,0,1
78.58,371.61216,"Guatemala","2014","Other","Washed / Wet",3,0,0,0,0,1,"Other",0,0,0,0,0,0
78.5,1200,"Mexico","2012","Caturra","Washed / Wet",4,0,0,0,0,1,"Caturra",0,0,1,0,0,1
78.17,1300,"Indonesia","2016","Java","Washed / Wet",1,0,0,0,0,1,"Other",0,0,0,0,0,0
78.08,1050,"Mexico","2012","Typica","Washed / Wet",3,0,0,0,0,1,"Typica",0,0,0,1,0,1
77.92,1200,"Costa Rica","2014","Caturra","Washed / Wet",6,0,0,0,0,1,"Caturra",0,0,1,0,0,0
77.83,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",2,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
77.25,825,"Haiti","2013","Typica","Washed / Wet",1,0,0,0,0,1,"Typica",0,0,0,1,0,0
77.17,1200,"Mexico","2012","Other","Washed / Wet",12,0,0,0,0,1,"Other",0,0,0,0,0,1
76.33,399.483072,"Guatemala","2012","Bourbon","Washed / Wet",8,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
76.08,1250,"Mexico","2012","Bourbon","Washed / Wet",12,0,0,0,0,1,"Bourbon",1,0,0,0,0,1
74.92,1500,"Mexico","2012","Typica","Washed / Wet",6,0,0,0,0,1,"Typica",0,0,0,1,0,1
74.67,1700,"Mexico","2013","Typica","Washed / Wet",7,0,0,0,0,1,"Typica",0,0,0,1,0,1
74.33,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",2,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
71.75,1200,"Costa Rica","2014","Caturra","Washed / Wet",7,0,0,0,0,1,"Caturra",0,0,1,0,0,0
69.33,1450,"Honduras","2014","Catuai","Washed / Wet",4,0,0,0,0,1,"Catuai",0,1,0,0,0,0
63.08,1100,"Nicaragua","2016","Caturra","Other",6,0,1,0,0,0,"Caturra",0,0,1,0,0,0
