"Total.Cup.Points","altitude_mean_meters_adj","Country.of.Origin","Harvest.Year","Variety","Processing.Method","total_defects","Quakers","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical"
84,1500,"Honduras","2017","Caturra","Washed / Wet",5,0,0,0,0,1,"Caturra",0,0,1,0,0,0
84,371.61216,"Guatemala","2014","Bourbon","Natural / Dry",1,0,0,0,0,0,"Bourbon",1,0,0,0,0,0
84,1480,"Colombia","2014","","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0
84,1450,"Colombia","2014","Caturra","Natural / Dry",0,0,0,0,0,0,"Caturra",0,0,1,0,0,0
84,1775,"Colombia","2014","Caturra","Washed / Wet",3,0,0,0,0,1,"Caturra",0,0,1,0,0,0
84,1550,"Ethiopia","2013","Other","Natural / Dry",44,0,0,0,0,0,"Other",0,0,0,0,0,0
83.92,934,"Brazil","2016","Bourbon","Natural / Dry",7,2,0,0,0,0,"Bourbon",1,0,0,0,0,0
83.92,1400,"Mexico","2012","Typica","Washed / Wet",2,0,0,0,0,1,"Typica",0,0,0,1,0,1
83.83,1500,"Guatemala","2016","Bourbon","Washed / Wet",6,7,0,0,0,1,"Bourbon",1,0,0,0,0,0
83.83,1200,"Brazil","2014/2015","Bourbon","Semi-washed / Semi-pulped",1,0,0,0,1,0,"Bourbon",1,0,0,0,0,0
83.83,800,"Ecuador","2013","","Natural / Dry",0,0,0,0,0,0,"Other",0,0,0,0,0,0
83.83,1250,"Brazil","2011/2012","Yellow Bourbon","Semi-washed / Semi-pulped",3,0,0,0,1,0,"Yellow Bourbon",0,0,0,0,1,0
83.75,260.128512,"United States (Puerto Rico)","2013","Other","Washed / Wet",1,0,0,0,0,1,"Other",0,0,0,0,0,0
83.75,1775,"Colombia","2014","Caturra","Washed / Wet",5,0,0,0,0,1,"Caturra",0,0,1,0,0,0
83.75,1550,"Colombia","2014","Other","Washed / Wet",3,0,0,0,0,1,"Other",0,0,0,0,0,0
83.75,1750,"Colombia","2013","Caturra","Washed / Wet",1,0,0,0,0,1,"Caturra",0,0,1,0,0,0
83.75,1300,"Guatemala","2012","Caturra","Washed / Wet",1,0,0,0,0,1,"Caturra",0,0,1,0,0,0
83.67,1400,"Honduras","2016","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0
83.67,1200,"Taiwan","2015","Caturra","Natural / Dry",0,0,0,0,0,0,"Caturra",0,0,1,0,0,1
83.67,1625,"Colombia","2014/2015","Caturra","Washed / Wet",4,0,0,0,0,1,"Caturra",0,0,1,0,0,0
83.67,1750,"Colombia","2013","Caturra","Washed / Wet",3,0,0,0,0,1,"Caturra",0,0,1,0,0,0
83.67,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",4,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
83.67,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",2,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
83.67,464.5152,"Guatemala","2012","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0
83.58,890,"Brazil","2017 / 2018","Bourbon","Natural / Dry",5,0,0,0,0,0,"Bourbon",1,0,0,0,0,0
83.58,1775,"Colombia","2015","Caturra","Washed / Wet",3,0,0,0,0,1,"Caturra",0,0,1,0,0,0
83.58,1800,"Uganda","2013","SL14","Washed / Wet",5,0,0,0,0,1,"Other",0,0,0,0,0,0
83.58,1600,"Colombia","2014","Caturra","Natural / Dry",0,0,0,0,0,0,"Caturra",0,0,1,0,0,0
83.58,2136,"Colombia","2012","Caturra","Natural / Dry",4,0,0,0,0,0,"Caturra",0,0,1,0,0,0
83.58,1100,"Brazil","2012","Catuai","Semi-washed / Semi-pulped",2,0,0,0,1,0,"Catuai",0,1,0,0,0,0
83.5,1799,"Colombia","2016","Caturra","Washed / Wet",5,0,0,0,0,1,"Caturra",0,0,1,0,0,0
83.5,1850,"Costa Rica","2015","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0
83.5,1400,"Tanzania, United Republic Of","2015","Ruiru 11","Washed / Wet",21,0,0,0,0,1,"Other",0,0,0,0,0,0
83.5,940,"Mexico","2012","Typica","Semi-washed / Semi-pulped",12,0,0,0,1,0,"Typica",0,0,0,1,0,1
83.5,464.5152,"Guatemala","2012","Caturra","Washed / Wet",5,0,0,0,0,1,"Caturra",0,0,1,0,0,0
83.42,1850,"Costa Rica","2016","Caturra","Washed / Wet",4,0,0,0,0,1,"Caturra",0,0,1,0,0,0
83.42,1200,"Thailand","2015","Catimor","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0
83.42,442,"Colombia","2015","Caturra","Natural / Dry",4,0,0,0,0,0,"Caturra",0,0,1,0,0,0
83.33,1300,"Costa Rica","2014","Caturra","Washed / Wet",3,0,0,0,0,1,"Caturra",0,0,1,0,0,0
83.33,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",3,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
83.25,1600,"Mexico","2017","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1
83.25,2100,"Guatemala","2016","Pacas","Washed / Wet",7,2,0,0,0,1,"Other",0,0,0,0,0,0
83.25,1000,"Taiwan","2015","Bourbon","Washed / Wet",0,0,0,0,0,1,"Bourbon",1,0,0,0,0,1
83.25,1483,"Colombia","2014","Caturra","Natural / Dry",0,0,0,0,0,0,"Caturra",0,0,1,0,0,0
83.25,1000,"Mexico","2012","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,1
83.25,399.483072,"Guatemala","2012","Bourbon","Washed / Wet",9,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
83.25,1775,"Colombia","2012","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0
83.17,1550,"Vietnam","2017","Catimor","Natural / Dry",0,0,0,0,0,0,"Other",0,0,0,0,0,0
83.17,1200,"China","2015","Catimor","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,1
83.17,1650,"Guatemala","2015","Bourbon","Washed / Wet",3,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
83.17,800,"Thailand","2014","","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0
83.17,1800,"Uganda","2014","SL14","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0
83.17,1450,"Honduras","2013","Catuai","Natural / Dry",5,0,0,0,0,0,"Catuai",0,1,0,0,0,0
83.17,464.5152,"Guatemala","2014","Catuai","Washed / Wet",1,0,0,0,0,1,"Catuai",0,1,0,0,0,0
83.17,1500,"Mexico","2013","Typica","Washed / Wet",2,0,0,0,0,1,"Typica",0,0,0,1,0,1
83.17,1775,"Colombia","2012","Caturra","Washed / Wet",3,0,0,0,0,1,"Caturra",0,0,1,0,0,0
83.17,1380,"Mexico","2012","Typica","Washed / Wet",5,0,0,0,0,1,"Typica",0,0,0,1,0,1
83.17,427.353984,"Guatemala","2012","Bourbon","Washed / Wet",10,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
83.08,1799,"Colombia","2016","Caturra","Washed / Wet",4,1,0,0,0,1,"Caturra",0,0,1,0,0,0
83.08,1,"Brazil","2015/2016","Yellow Bourbon","Natural / Dry",3,0,0,0,0,0,"Yellow Bourbon",0,0,0,0,1,0
83.08,1200,"Brazil","2014/2015","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
83,872,"Brazil","2016","Bourbon","Natural / Dry",3,2,0,0,0,0,"Bourbon",1,0,0,0,0,0
83,1473,"Uganda","2015","Bourbon","Washed / Wet",6,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
83,260.128512,"United States (Puerto Rico)","2013","Other","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0
83,1500,"Guatemala","2014","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
83,1250,"Brazil","2013/2014","Yellow Bourbon","Semi-washed / Semi-pulped",4,0,0,0,1,0,"Yellow Bourbon",0,0,0,0,1,0
83,1775,"Colombia","2013","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0
83,1000,"Colombia","2013","Caturra","Natural / Dry",2,0,0,0,0,0,"Caturra",0,0,1,0,0,0
83,750,"Mexico","2012","Typica","Washed / Wet",20,0,0,0,0,1,"Typica",0,0,0,1,0,1
