"Total.Cup.Points","altitude_mean_meters_adj","total_defects","Quakers","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","mean_temp"
86,1860,1,0,0,0,0,1,0,0,0,0,0,0,9.6065
81.92,1250,2,0,0,0,0,1,1,0,0,0,0,0,9.57066666666667
81.42,1750,0,0,0,0,0,0,0,0,1,0,0,0,9.516
81.83,1550,0,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
84.08,1775,2,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
80.17,1550,3,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
80.17,399.483072,5,0,0,0,0,1,1,0,0,0,0,0,9.50733333333333
83.92,1550,3,0,0,0,0,0,0,0,1,0,0,0,9.57066666666667
83.83,1850,0,0,0,0,0,1,0,0,1,0,0,0,9.831
82.67,1700,0,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
81.92,1300,6,0,0,0,0,1,1,0,0,0,0,1,9.6065
81.83,1775,2,0,0,0,0,1,0,0,1,0,0,0,9.6065
82.42,1000,1,0,0,0,1,0,0,1,0,0,0,0,9.50733333333333
83.33,1000,1,0,0,0,0,0,0,0,1,0,0,0,9.6065
81.33,1200,6,0,1,0,0,0,0,0,0,0,1,0,9.831
86.08,1754,2,0,0,0,0,0,0,0,0,0,0,0,9.57066666666667
82.5,800,0,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
81.42,763,9,0,0,0,0,1,0,0,1,0,0,1,9.50733333333333
81.67,750,0,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
82.92,1059,3,0,0,0,0,0,0,0,0,1,0,1,9.831
84.75,1450,4,0,0,0,0,1,0,1,0,0,0,0,9.57066666666667
81.83,1250,10,0,0,0,1,0,0,0,0,1,0,1,9.50733333333333
84.92,1000,2,0,0,0,0,0,0,1,0,0,0,0,9.516
82.33,399.483072,3,0,0,0,0,1,1,0,0,0,0,0,9.6065
81.58,1400,9,0,0,0,0,1,0,0,0,1,0,1,9.6065
84.33,1700,1,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
