"Total.Cup.Points","altitude_mean_meters_adj","total_defects","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","dist_equator"
84.5,1350,0,0,0,0,1,0,0,0,1,0,1,23.634501
82.42,1350,6,0,0,0,1,0,0,0,0,0,1,23.634501
82,950,2,0,0,1,0,0,0,0,0,0,0,14.235004
82.33,1100,0,0,0,0,0,1,0,0,0,0,0,14.235004
83,1250,4,0,0,1,0,0,0,0,0,1,0,14.235004
84.75,1450,4,0,0,0,1,0,1,0,0,0,0,15.199999
82.25,423.91657152,2,0,0,0,1,1,0,0,0,0,0,15.783471
84.67,1200,7,0,0,0,1,0,0,0,0,0,0,0.789275
82.33,1450,0,0,0,0,1,0,0,0,0,0,0,13.254308
81.17,1450,0,0,0,0,1,0,0,1,0,0,0,15.870032
89.92,2075,1,0,0,0,1,0,0,0,0,0,0,9.145
80.83,1210,7,0,0,1,0,0,1,0,0,0,1,23.634501
80.92,550,0,0,0,0,1,0,0,0,1,0,1,23.69781
81,1700,3,0,0,0,0,0,0,0,0,0,0,1.373333
84.75,1800,0,0,0,0,1,0,0,0,0,0,0,0.023559
80.33,940,21,0,0,1,0,0,0,0,1,0,1,23.634501
81.83,1400,1,0,0,0,1,0,1,0,0,0,0,15.199999
84,520.257024,7,0,0,0,1,0,0,1,0,0,0,15.783471
79.83,1300,3,0,0,0,1,0,0,0,1,0,1,23.634501
81.33,1400,3,0,0,0,1,0,0,0,0,0,0,12.879721
82,1600,1,0,0,0,1,0,0,1,0,0,0,15.199999
84.67,1350,2,0,0,0,1,1,0,0,0,0,0,13.794185
71.75,1200,7,0,0,0,1,0,0,1,0,0,0,9.748917
84.25,1500,4,0,0,0,1,0,0,1,0,0,0,15.783471
74.67,1700,7,0,0,0,1,0,0,0,1,0,1,23.634501
81.42,1100,1,0,0,0,1,0,0,0,1,0,1,23.634501
81.5,371.61216,0,0,0,0,1,1,0,0,0,0,0,15.783471
83.17,1550,0,0,0,0,0,0,0,0,0,0,0,14.058324
83.58,343.92705408,0,0,0,0,1,0,0,1,0,0,0,15.783471
81.08,1650,21,0,0,0,1,0,0,0,1,0,1,23.634501
81.83,1250,0,1,0,0,0,0,0,0,0,0,0,0.789275
81.42,110,0,0,0,0,1,0,0,0,1,0,1,23.69781
83.33,1200,3,0,0,0,1,0,1,0,0,0,0,9.748917
82,1400,5,0,0,0,1,0,0,1,0,0,0,15.199999
81.75,1040,0,0,0,0,1,0,0,1,0,0,0,14.058324
84.25,371.61216,1,1,0,0,0,1,0,0,0,0,0,15.783471
81.67,371.61216,3,0,0,0,1,1,0,0,0,0,0,15.783471
81.83,48.12377472,2,0,0,0,1,1,0,0,0,0,0,15.783471
81.83,1,0,0,0,0,0,0,0,0,0,1,0,14.235004
83.17,1350,0,0,0,0,1,1,0,0,0,0,0,13.794185
83,750,20,0,0,0,1,0,0,0,1,0,1,23.634501
83.17,1901,1,0,0,0,1,1,0,0,0,0,0,15.783471
81.83,1100,0,0,0,0,0,1,0,0,0,0,0,14.235004
81.67,890,5,0,0,0,0,1,0,0,0,0,0,14.235004
82.5,1600,1,0,0,0,1,0,0,0,0,0,1,23.634501
79.92,1100,3,0,0,0,1,0,1,0,0,0,1,23.634501
80.67,185,4,0,0,0,1,0,0,1,0,0,0,9.748917
69.33,1450,4,0,0,0,1,0,1,0,0,0,0,15.199999
82.17,800,0,0,0,0,1,0,0,0,1,0,1,23.69781
75.5,1100,24,0,0,0,1,0,0,0,0,0,1,23.634501
79.08,1100,45,0,0,0,1,0,0,0,0,0,1,23.634501
80.92,1200,8,0,0,0,0,0,0,0,0,1,0,14.235004
77.25,825,1,0,0,0,1,0,0,0,1,0,0,18.971187
84.33,1700,1,0,0,0,1,0,0,0,1,0,1,23.634501
81.42,1100,0,0,0,0,0,1,0,0,0,0,0,14.235004
83.08,1799,4,0,0,0,1,0,0,1,0,0,0,4.570868
83.67,1750,1,0,0,0,1,0,0,1,0,0,0,4.570868
80.33,600,0,1,0,0,0,0,0,0,0,1,1,23.69781
82,1050,1,0,0,1,0,0,1,0,0,0,0,14.235004
84.58,1100,1,0,0,1,0,0,1,0,0,0,0,14.235004
82.83,1700,3,0,0,0,1,1,0,0,0,0,0,15.783471
83.08,1200,1,0,0,0,1,1,0,0,0,0,0,14.235004
79.5,1550,21,0,0,0,1,0,0,1,0,0,1,23.634501
84.92,1000,2,0,0,0,0,0,1,0,0,0,0,14.235004
84.67,1775,3,0,0,0,1,0,0,0,0,0,0,1.373333
86.17,1941,0,0,0,0,1,0,0,0,0,0,1,37.09024
82.25,1170,3,0,0,0,1,1,0,0,0,0,1,23.634501
82.17,1600,1,0,0,0,1,0,0,0,0,0,0,NA
82.75,165,0,0,0,0,1,0,0,0,1,0,0,4.570868
82.42,2285,7,0,0,0,1,0,0,0,0,0,0,NA
85.08,2136,8,0,0,0,0,0,0,1,0,0,0,4.570868
83.83,1,0,0,0,0,0,0,0,0,0,1,0,14.235004
79,1300,12,0,0,0,0,0,0,0,0,0,1,23.634501
83.92,1400,2,0,0,0,1,0,0,0,1,0,1,23.634501
81.58,1100,0,0,0,0,1,0,0,0,0,0,0,13.254308
79.75,800,0,0,0,0,1,0,0,0,0,0,0,15.870032
81.17,1300,0,0,0,0,1,0,0,1,0,0,0,9.748917
78,1350,8,0,0,0,0,0,0,0,0,0,0,15.199999
83.58,1100,4,0,0,0,1,0,0,0,0,0,1,35.86166
82.42,1260,0,0,0,0,0,0,0,0,0,1,0,14.235004
83.17,700,5,0,0,0,1,0,0,0,1,0,1,23.634501
82.33,1170,9,0,0,0,1,1,0,0,0,0,1,23.634501
84.58,1500,4,0,0,0,1,0,0,0,0,0,0,4.570868
81.67,150,0,0,0,1,0,0,0,0,1,0,1,23.69781
80.75,1300,0,0,0,0,1,0,0,1,0,0,0,9.748917
80.08,250,0,0,0,1,0,0,0,0,1,0,1,23.69781
85.5,1600,1,0,0,0,1,0,0,0,0,0,0,1.373333
79.5,1050,6,0,0,0,0,0,0,1,0,0,0,12.865416
82.5,1260,0,0,0,1,0,0,0,0,0,1,0,14.235004
82.75,1200,0,0,0,0,1,0,0,0,1,0,1,23.634501
82.75,650,0,0,0,0,0,0,0,0,0,1,1,23.69781
81.17,1200,4,0,0,0,0,0,0,0,1,0,0,12.879721
81.75,1550,24,0,0,0,1,0,0,1,0,0,1,23.634501
82.83,1800,8,0,0,0,0,0,0,0,1,0,0,4.570868
82.83,371.61216,2,0,0,0,1,1,0,0,0,0,0,15.783471
83.92,890,3,0,0,0,0,1,0,0,0,0,0,14.235004
81.92,1650,4,0,0,0,1,0,0,0,0,0,1,23.634501
82.58,1750,0,0,0,0,1,0,0,1,0,0,0,4.570868
82.92,775,9,0,0,0,0,0,0,0,1,0,1,23.69781
86,1200,2,0,0,0,1,0,0,1,0,0,0,4.570868
82.17,1700,1,0,0,0,1,0,0,0,0,0,0,NA
83.67,399.483072,2,0,0,0,1,1,0,0,0,0,0,15.783471
84.67,1200,4,0,0,0,1,0,1,0,0,0,0,9.748917
81.58,800,0,0,0,0,1,0,0,0,1,0,1,23.69781
83.25,1900,0,0,1,0,0,0,1,0,0,0,0,9.748917
83.17,1450,1,0,0,0,1,0,1,0,0,0,0,15.199999
78.17,1300,1,0,0,0,1,0,0,0,0,0,0,0.789275
84.67,1000,0,0,0,0,1,0,0,0,1,0,1,23.69781
86.08,1000,0,0,0,1,0,1,0,0,0,0,1,23.69781
79.67,1400,6,0,0,0,1,0,0,0,1,0,1,23.634501
80.67,1350,1,0,0,1,0,0,0,0,0,0,0,0.789275
81.08,1100,1,0,0,0,1,0,0,0,0,0,0,12.865416
82.75,1700,4,0,0,0,1,1,0,0,0,0,0,15.783471
78.92,1300,8,0,0,0,1,0,0,0,1,0,1,23.634501
82.08,1800,16,0,0,0,1,0,0,0,1,0,1,23.634501
82,1000,1,0,0,0,0,0,0,0,0,0,0,14.235004
83.5,1850,0,0,0,0,1,0,0,1,0,0,0,9.748917
81.92,690,10,0,0,0,1,0,0,0,0,0,1,23.634501
82.17,1,1,0,0,0,0,0,0,0,0,1,0,14.235004
80.92,1100,11,0,0,0,1,1,0,0,0,0,1,23.634501
83.17,1800,1,0,0,0,1,1,0,0,0,0,0,NA
80.25,278.70912,27,0,0,0,0,0,0,0,0,0,0,NA
80.75,1350,2,0,0,0,1,0,1,0,0,0,0,15.199999
82.42,1150,0,0,0,0,1,0,0,1,0,0,1,23.634501
82.83,1040,11,1,0,0,0,0,0,0,0,0,0,14.058324
83.67,1400,2,0,0,0,1,0,0,1,0,0,0,15.199999
84.08,442,4,0,0,0,1,0,0,1,0,0,0,4.570868
69.17,1450,4,0,0,0,1,0,1,0,0,0,0,15.199999
83.83,1300,4,0,0,0,0,0,0,0,0,0,1,23.634501
82.08,1300,3,0,0,0,1,1,0,0,0,0,0,0.789275
78,1200,28,0,0,0,1,0,0,0,1,0,1,35.86166
82.33,442,0,0,0,0,0,0,0,1,0,0,0,4.570868
81.42,1550,2,0,0,0,1,0,0,0,1,0,1,23.634501
84.42,1400,3,1,0,0,0,0,0,0,0,0,0,0.789275
83.83,525,1,0,0,0,1,0,0,0,1,0,1,23.69781
82.17,1750,1,0,0,0,1,0,0,1,0,0,0,4.570868
82.83,1600,1,0,0,0,1,0,0,0,0,0,0,4.570868
80.42,1450,1,0,0,0,1,1,0,0,0,0,0,13.794185
81.67,1650,14,0,0,0,1,0,0,0,1,0,1,23.634501
79.17,371.61216,0,0,0,0,1,1,0,0,0,0,0,15.783471
78,650,7,0,0,0,1,0,0,0,0,1,1,23.69781
84.08,1480,11,0,0,0,1,0,0,0,1,0,1,23.634501
81.5,1599,0,0,0,0,1,0,0,0,0,0,0,13.254308
85.42,1900,18,0,0,0,1,0,0,0,0,0,0,9.145
80.5,1250,10,0,0,1,0,0,0,0,0,1,0,14.235004
83.08,1400,1,0,0,0,1,0,0,0,0,0,1,23.634501
84.67,1200,3,0,0,0,1,0,0,0,1,0,1,23.634501
80.67,1550,1,0,0,0,0,0,0,1,0,0,0,4.570868
81.83,1,1,0,0,0,0,0,0,0,0,1,0,14.235004
85,1100,3,0,0,0,0,0,0,0,0,0,0,14.235004
82.08,1500,5,0,0,0,1,1,0,0,0,0,0,NA
79,1350,12,0,0,0,1,0,0,0,0,0,0,15.199999
84.25,1600,2,0,0,0,1,0,0,0,0,0,0,NA
83.25,399.483072,9,0,0,0,1,1,0,0,0,0,0,15.783471
81.33,1500,3,0,0,0,1,0,0,1,0,0,0,15.199999
82.75,48.12377472,0,0,0,0,1,1,0,0,0,0,0,15.783471
81.58,1200,3,0,0,0,1,0,0,0,0,0,0,15.199999
85,1300,3,0,0,0,1,0,0,0,1,0,1,23.634501
83.17,1775,4,0,0,0,1,0,0,1,0,0,0,4.570868
84.25,1800,0,0,0,0,1,0,0,0,0,0,0,4.570868
81,950,12,0,0,0,1,0,0,0,0,0,1,23.634501
83.17,250.5,1,0,0,0,1,0,0,0,0,0,0,0.023559
82.58,1050,0,0,1,0,0,0,0,0,1,0,1,23.69781
82.33,534.19248,3,0,0,0,1,1,0,0,0,0,0,15.783471
82.08,1,1,0,0,0,0,0,0,0,0,1,0,14.235004
83.5,1500,8,0,0,1,0,0,0,0,0,0,0,0.789275
82,944,3,0,0,0,0,1,0,0,0,0,0,14.235004
81.67,1400,5,0,0,0,0,0,0,1,0,0,0,15.199999
86.08,1754,2,0,0,0,0,0,0,0,0,0,0,0.023559
84.67,1150,2,0,0,0,1,0,1,0,0,0,0,9.748917
81.17,1550,2,0,0,0,1,1,0,0,0,0,0,NA
80.5,1650,5,0,0,0,1,0,1,0,0,0,0,15.199999
84.33,1800,0,0,0,0,1,0,0,1,0,0,0,4.570868
79.33,200,3,0,0,0,1,0,0,0,0,0,0,NA
83.08,750,0,0,0,0,0,0,0,0,1,0,1,23.69781
82.92,1400,4,0,0,0,1,0,0,0,0,0,0,1.373333
84.25,335.10126528,1,0,0,0,1,0,0,1,0,0,0,15.783471
80.67,1200,4,0,0,0,1,0,0,0,1,0,1,23.634501
83.67,399.483072,4,0,0,0,1,1,0,0,0,0,0,15.783471
84.67,1600,1,0,0,0,1,1,0,0,0,0,0,15.783471
83,1200,0,0,0,0,1,0,0,0,1,0,1,23.69781
83.42,1700,3,0,0,0,1,1,0,0,0,0,0,15.783471
83.58,1000,2,0,0,0,1,0,0,0,1,0,1,23.634501
82.58,1250,6,0,0,0,1,0,0,0,1,0,1,23.634501
84.67,1750,0,0,0,0,1,0,0,1,0,0,0,9.748917
83,1645,8,0,0,0,0,1,0,0,0,0,0,1.373333
83.33,1750,1,0,0,0,1,0,0,1,0,0,0,4.570868
83.25,1300,6,0,0,0,1,1,0,0,0,0,1,23.634501
82.83,399.483072,10,0,0,0,1,1,0,0,0,0,0,15.783471
80.25,808,10,0,0,0,1,0,0,1,0,0,1,23.634501
87.58,2080,0,0,0,0,1,0,0,0,0,0,1,37.09024
83,1550,3,0,0,0,1,0,1,0,0,0,0,15.783471
80.58,1400,5,0,0,0,1,0,0,1,0,0,0,15.199999
80.92,1050,4,0,0,0,1,0,0,1,0,0,0,12.865416
82.17,1200,1,0,0,0,1,0,0,0,1,0,1,23.634501
83.17,1775,3,0,0,0,1,0,0,1,0,0,0,4.570868
81.17,1200,10,0,0,0,1,0,0,1,0,0,1,23.634501
78,399.483072,12,0,0,0,1,1,0,0,0,0,0,15.783471
81.42,418.06368,0,0,0,0,1,0,1,0,0,0,0,15.783471
80.17,1000,12,0,0,0,1,1,0,0,0,0,1,23.634501
82.5,1400,4,0,0,0,1,0,0,1,0,0,0,15.199999
74.83,1250,30,0,0,0,1,0,0,0,1,0,1,23.634501
88.08,1905,1,0,0,0,0,0,0,0,0,0,0,9.145
82.33,1300,2,0,0,0,1,0,0,1,0,0,0,4.570868
83.25,1483,0,0,0,0,0,0,0,1,0,0,0,4.570868
82.92,2000,21,0,0,0,1,0,0,0,0,0,0,9.145
82.08,1300,7,0,0,0,1,0,0,0,1,0,1,23.634501
80.83,1200,1,0,0,0,1,0,0,1,0,0,0,15.783471
83.17,1500,2,0,0,0,1,0,0,0,1,0,1,23.634501
83.58,1000,0,1,0,0,0,0,0,0,1,0,1,23.69781
83.17,800,0,0,0,0,1,0,0,0,0,0,0,15.870032
83.83,399.483072,3,0,0,0,1,1,0,0,0,0,0,15.783471
83.17,464.5152,1,0,0,0,1,0,1,0,0,0,0,15.783471
81.92,1020,4,0,0,0,0,0,1,0,0,0,0,14.235004
85.5,1900,7,0,0,0,0,0,0,0,0,0,0,9.145
84.25,1700,33,0,0,0,0,0,0,0,0,0,0,1.373333
82.58,1250,6,0,0,1,0,0,0,0,1,0,0,0.789275
81.67,1260,2,0,0,0,1,1,0,0,0,0,0,14.235004
83.42,1450,2,0,0,0,1,0,0,1,0,0,0,4.570868
83.83,1260,0,0,0,0,0,0,0,0,0,1,0,14.235004
82.33,934,3,0,0,0,0,1,0,0,0,0,0,14.235004
81.08,695,13,0,0,0,0,0,0,0,0,0,0,14.235004
83.92,1500,2,0,0,0,1,0,0,0,1,0,1,23.634501
82.75,1400,6,0,0,0,0,0,0,1,0,0,0,15.199999
82.58,1317,1,0,0,0,1,0,0,0,0,0,0,NA
82.5,1750,1,0,0,0,1,0,0,1,0,0,0,4.570868
82.75,1300,2,0,0,0,1,0,0,1,0,0,0,4.570868
81.42,1100,18,0,0,0,1,0,0,0,0,0,1,23.634501
83.42,1813,1,0,0,0,1,0,0,1,0,0,0,4.570868
83,890,4,0,0,0,0,1,0,0,0,0,0,14.235004
80.33,1700,5,0,0,0,1,1,0,0,0,0,0,NA
82.25,650,0,0,0,0,1,0,0,0,1,0,1,23.69781
83.08,905,2,0,1,0,0,0,0,0,0,1,0,14.235004
83.5,427.353984,15,0,0,0,1,1,0,0,0,0,0,15.783471
79.67,1264,9,0,0,0,1,0,0,0,0,0,1,23.634501
82.33,1268,0,0,0,0,0,1,0,0,0,0,0,14.235004
83.5,1350,3,0,0,0,0,0,0,1,0,0,0,15.199999
75,850,22,0,0,0,1,0,0,0,1,0,1,23.634501
80.42,600,0,0,0,0,1,0,0,0,1,0,1,23.69781
80.5,1250,3,0,0,1,0,0,0,0,0,1,0,14.235004
83.67,1400,0,0,0,0,1,0,0,0,1,0,0,0.789275
83.08,1300,3,0,0,0,1,0,1,0,0,0,0,9.748917
83.33,1880,5,0,0,0,1,1,0,0,0,0,0,3.373056
83,1750,0,0,0,0,1,0,0,1,0,0,0,4.570868
83.75,442,0,0,0,0,0,0,0,1,0,0,0,4.570868
84.58,1300,2,0,0,1,0,1,0,0,0,0,0,14.235004
82,650,0,0,0,0,1,0,0,0,1,0,1,23.69781
79.75,1400,4,0,0,0,1,0,0,0,1,0,1,23.634501
80,1100,12,0,0,0,1,0,0,0,0,0,1,23.634501
82.5,890,4,0,0,0,0,1,0,0,0,0,0,14.235004
82.42,1170,1,0,0,0,1,0,0,1,0,0,1,23.634501
81.67,940,4,0,0,1,0,0,0,1,0,0,1,23.634501
79.75,1000,0,0,0,0,0,0,0,0,1,0,1,23.69781
80,1250,9,0,0,0,1,0,0,0,1,0,1,23.634501
84.17,1700,2,0,0,0,1,0,0,1,0,0,0,9.748917
81.58,1800,5,0,0,0,1,0,0,0,0,0,0,NA
83.17,1350,3,0,0,0,0,0,0,1,0,0,0,15.199999
82.42,1296,0,0,0,0,1,0,0,0,1,0,1,23.634501
82,1600,7,0,0,0,0,0,0,1,0,0,0,15.199999
84.5,1800,1,0,0,0,1,0,0,0,0,0,0,4.570868
82.92,1040,17,0,0,0,0,0,0,0,0,0,0,14.058324
85.33,1300,0,0,0,0,1,0,0,1,0,0,0,9.748917
83.58,1850,7,0,0,0,1,0,0,0,0,0,0,9.145
84.67,399.483072,4,0,0,0,1,1,0,0,0,0,0,15.783471
80.58,1200,3,0,0,1,0,1,0,0,0,0,0,14.235004
80.08,1300,0,0,0,0,1,0,0,0,1,0,1,23.634501
79.75,600,0,0,0,0,1,0,0,0,1,0,1,23.69781
79,12,45,0,0,0,1,0,0,0,1,0,1,23.634501
81.92,1250,2,0,0,0,1,1,0,0,0,0,0,13.794185
82.5,1679,10,0,0,0,1,0,0,0,1,0,1,23.634501
73.83,1250,19,0,0,0,1,0,0,0,1,0,1,23.634501
75.17,1200,20,0,0,0,1,0,0,0,0,0,1,23.634501
84,1600,9,0,0,0,1,0,0,0,0,0,0,4.570868
76.42,1100,14,0,0,0,1,0,0,0,1,0,1,23.634501
82.42,1700,0,0,0,0,1,1,0,0,0,0,0,15.783471
74,1200,27,0,0,0,1,0,0,0,1,0,1,23.634501
82.33,600,0,0,0,0,1,0,0,0,1,0,1,23.69781
86.17,1300,10,0,0,0,1,0,0,1,0,0,0,15.870032
59.83,431.999136,4,0,0,0,1,0,1,0,0,0,0,15.783471
77.92,1200,6,0,0,0,1,0,0,1,0,0,0,9.748917
84.08,968,4,0,0,0,1,0,0,0,1,0,1,23.69781
82.17,1500,4,0,0,0,1,1,0,0,0,0,0,15.783471
78.58,800,0,0,0,0,1,0,0,0,1,0,1,23.69781
82.25,1,9,0,0,0,0,0,0,0,0,1,0,14.235004
81.5,900,0,0,0,0,1,0,0,0,1,0,1,23.69781
