"Total.Cup.Points","altitude_mean_meters_adj","Country.of.Origin","Harvest.Year","Variety","Processing.Method","total_defects","Quakers","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical"
88.83,2075,"Ethiopia","2014","Other","Washed / Wet",2,0,0,0,0,1,"Other",0,0,0,0,0,0
86.92,1250,"Brazil","2011","Bourbon","Natural / Dry",2,0,0,0,0,0,"Bourbon",1,0,0,0,0,0
86.42,1300,"Brazil","2011","Bourbon","Natural / Dry",2,0,0,0,0,0,"Bourbon",1,0,0,0,0,0
86.33,1300,"Costa Rica","2015/2016","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0
86.25,1775,"Ethiopia","2014","","Natural / Dry",3,0,0,0,0,0,"Other",0,0,0,0,0,0
86.17,1300,"Thailand","2012","Caturra","Washed / Wet",10,0,0,0,0,1,"Caturra",0,0,1,0,0,0
86.08,1000,"Taiwan","2015","Bourbon","Semi-washed / Semi-pulped",0,0,0,0,1,0,"Bourbon",1,0,0,0,0,1
86.08,1250,"Brazil","2011","Bourbon","Semi-washed / Semi-pulped",2,0,0,0,1,0,"Bourbon",1,0,0,0,0,0
86,1200,"Colombia","2013","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0
85.92,1650,"Uganda","2013","SL14","Natural / Dry",0,0,0,0,0,0,"Other",0,0,0,0,0,0
85.58,1500,"El Salvador","2013","Bourbon","Washed / Wet",3,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
85.5,1900,"Kenya","2014","SL28","Natural / Dry",3,0,0,0,0,0,"Other",0,0,0,0,0,0
85.33,1700,"China","2015","Catimor","Natural / Dry",0,0,0,0,0,0,"Other",0,0,0,0,0,1
85.33,1300,"Costa Rica","2014","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0
85.25,1550,"Colombia","2014","Caturra","Natural / Dry",2,0,0,0,0,0,"Caturra",0,0,1,0,0,0
85.17,1325,"Indonesia","2012","Sumatra Lintong","Semi-washed / Semi-pulped",3,0,0,0,1,0,"Other",0,0,0,0,0,0
85.08,2560,"Colombia","2015","Caturra","Natural / Dry",0,0,0,0,0,0,"Caturra",0,0,1,0,0,0
85.08,2136,"Colombia","2012","Caturra","Natural / Dry",8,0,0,0,0,0,"Caturra",0,0,1,0,0,0
85,1900,"Costa Rica","2016","Catuai","Washed / Wet",2,1,0,0,0,1,"Catuai",0,1,0,0,0,0
85,1300,"Mexico","2015","Typica","Washed / Wet",3,0,0,0,0,1,"Typica",0,0,0,1,0,1
85,1,"Kenya","2015","","Washed / Wet",7,5,0,0,0,1,"Other",0,0,0,0,0,0
85,1580,"Kenya","2012","SL34","Washed / Wet",5,0,0,0,0,1,"Other",0,0,0,0,0,0
84.92,1775,"Colombia","2012","Caturra","Washed / Wet",3,0,0,0,0,1,"Caturra",0,0,1,0,0,0
84.92,1200,"Mexico","2012","Typica","Semi-washed / Semi-pulped",0,0,0,0,1,0,"Typica",0,0,0,1,0,1
84.92,1200,"Brazil","2011","Bourbon","Natural / Dry",2,0,0,0,0,0,"Bourbon",1,0,0,0,0,0
84.92,1000,"Brazil","2011","Catuai","Natural / Dry",2,0,0,0,0,0,"Catuai",0,1,0,0,0,0
84.67,1750,"Costa Rica","2014","Other","Other",1,0,1,0,0,0,"Other",0,0,0,0,0,0
84.67,2000,"Kenya","2012","SL28","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0
84.67,399.483072,"Guatemala","2012","Bourbon","Washed / Wet",4,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
84.58,1500,"Colombia","2016","Other","Washed / Wet",4,0,0,0,0,1,"Other",0,0,0,0,0,0
84.58,1800,"Kenya","2013","Peaberry","Washed / Wet",2,0,0,0,0,1,"Other",0,0,0,0,0,0
84.58,464.5152,"Guatemala","2014","Pacas","Washed / Wet",1,0,0,0,0,1,"Other",0,0,0,0,0,0
84.58,371.61216,"Guatemala","2014","Bourbon","Washed / Wet",0,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
84.58,1575,"Costa Rica","2012","Bourbon","Semi-washed / Semi-pulped",2,0,0,0,1,0,"Bourbon",1,0,0,0,0,0
84.5,1200,"Costa Rica","2017 / 2018","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0
84.5,1100,"China","2013","Other","Washed / Wet",2,0,0,0,0,1,"Other",0,0,0,0,0,1
84.5,1350,"Mexico","2012","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1
84.42,1300,"Costa Rica","2016","Caturra","Washed / Wet",3,0,0,0,0,1,"Caturra",0,0,1,0,0,0
84.33,1800,"Kenya","2017 / 2018","SL28","Washed / Wet",4,0,0,0,0,1,"Other",0,0,0,0,0,0
84.25,1200,"Thailand","2015","Catimor","Natural / Dry",0,0,0,0,0,0,"Other",0,0,0,0,0,0
84.25,2560,"Colombia","2016","Caturra","Natural / Dry",2,0,0,0,0,0,"Caturra",0,0,1,0,0,0
84.25,1600,"Tanzania, United Republic Of","2014","Other","Washed / Wet",2,0,0,0,0,1,"Other",0,0,0,0,0,0
84.25,1700,"Colombia","2013","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0
84.17,1700,"Costa Rica","2016","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0
84.17,1150,"Brazil","2015","Catuai","Natural / Dry",16,0,0,0,0,0,"Catuai",0,1,0,0,0,0
84.17,1530,"Colombia","2014/2015","Other","Washed / Wet",4,0,0,0,0,1,"Other",0,0,0,0,0,0
84.17,1500,"El Salvador","2013","Bourbon","Natural / Dry",2,0,0,0,0,0,"Bourbon",1,0,0,0,0,0
